src	keywords
I really like the show because it is thought provoking and i like shows that make me think	"Good/like the show/everything,Thought provoking,,,,,"
The cast.	"Good cast/actors,,,,,,"
Nothing	"None/no answer,,,,,,"
"It is the most complex and original idea I have ever seen or heard of. Also, because it delves into the topic of human emotions, but in an artificial way, if I were to be punny and serious all at once. From what I have seen of the show, I believe that we, as human beings, can compare ourselves to the androids, because we can definitely relate to them."	"Complex storyline,Original,Other show characteristic mentions,,,,"
it has many twists and I like that	"Suspense/Mystery/thrillers,Good/like the show/everything,,,,,"
It's unpredictable so you are left wanting more	"Suspense/Mystery/thrillers,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
thrilling and a very exciting show with action	"Suspense/Mystery/thrillers,Exciting,Like the action/adventurous,,,,"
It is a very unique show and I never know what to expect next	"Witty/humorous/funny/entertaining,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
It’s visually interesting	"Interesting/engaging,,,,,,"
love anything ed harris or thandie newton are in	"Good/like the show/everything,Like Ed Harris,Like Thandie Newton,,,,"
The acting and writing are amazing and it has a great story	"Good acting,Like the writing/dialog,Good storyline/subject matter,,,,"
"Westworld is a complete show, from start to finish, its plot keeps you interested and intrigued by what may happen. It has a unique theme and plot in my opinion, combining in a great way the genre of science fiction with the drama and problems that afflict us today."	"Attention grabbing/holds interest/keeps you wanting to watch more,Interesting/engaging,Unique/different,Science fiction/fantasy,Like the drama,Relevant to 21st century/existing in the world today/reflects our current society,"
Its different than the other show I watch	"Unique/different,,,,,,"
how they try and make a new way to be different then others	"Unique/different,,,,,,"
I like the subject.	"Good storyline/subject matter,,,,,,"
The overall futuristic concept of living in that (simulated) time period. The characters are all engaging and support their individual and collective agandas with determination and steadfastness.	"Futuristic,Appealing characters/I like the characters,,,,,"
Than you.	"None/no answer,,,,,,"
I like the action and parts in which they get killed by the bad guy	"Like the action/adventurous,Violence,,,,,"
love the complexity of characters and how it makes you think critically	"Like the character complexity,Thought provoking,,,,,"
The aspect of the show that revolves around what makes people humans. The acting is also great.	"Technology involvement/overpowering human life,Good acting,,,,,"
The characters	"Appealing characters/I like the characters,,,,,,"
THE CHARACTERS	"Appealing characters/I like the characters,,,,,,"
"I absolutely love the scenery and the music. The music is best in show, best in class. I've always been an Evan Rachel Wood fan and she carries the series very well. The overall tense and somber mood is drawing for me. I'm always excited to see what lurks behind each episode."	"Like the premise/setting/scenery,Like the music/song,Like Evan Rachel Wood,Exciting,,,"
it is very good	"Good/like the show/everything,,,,,,"
Westworld is a drama series of a darkodyssey about the dawn of artificial and evolution of sin	"Other misc. mentions,,,,,,"
Nothing else	"None/no answer,,,,,,"
the AI and sci-fi storyline and some of the characters	"Technological aspects (inclusion of robots, exploring AI, etc.),Science fiction/fantasy,Appealing characters/I like the characters,,,,"
I don't love love it. Too violent	"All negative mentions,,,,,,"
not sure it is very confusing now	"All negative mentions,,,,,,"
I like that it have a virtual reality setting where the character can go to any setting of the time line to protect there friend	"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
its full of twists	"Suspense/Mystery/thrillers,,,,,,"
"Complex story line, artificial intelligence"	"Complex storyline,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
"I really liked the first season. I'm not too impressed with the rest. I guess I keep comparing it to the original movie, which I really liked."	"Already seen/like the original movie,,,,,,"
It’s a show my friends recommended to me and I started watching.	"Heard good review/recommendations by family/friends,,,,,,"
It doesn’t	"None/no answer,,,,,,"
the story of the show is very engaging	"Interesting/engaging,,,,,,"
it is a binge worry	"All negative mentions,,,,,,"
"Futuristic Scifi, AI, sentience/consciousness, what is life? what is real? revealing the wider world beyond the parks (and the other parks), the architecture"	"Futuristic,Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),Other storyline/Plot mentions,,,"
The artificial intelligence aspect and Jeffrey wright	"Technological aspects (inclusion of robots, exploring AI, etc.),Other acting mentions,,,,,"
is very good	"Good/like the show/everything,,,,,,"
"interesting plot, interest to see how reality and 'fiction' merge in the show"	"Interesting/engaging,Like the premise/setting/scenery,Other show characteristic mentions,,,,"
Engaging	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
It a how that goes beyond the typical sci-fi story and tells the side of machine trying to survive and gain it's on identity.	"Suspense/Mystery/thrillers,Technology involvement/overpowering human life,,,,,"
It has very good acting and plot lines I'm always surprised by	"Good acting,Like the premise/setting/scenery,,,,,"
What draws me to Westworld is the thrill and excitement of every scene. I like the unexpected plot twists and how characters form bonds with one another. It is a good show because of the complex plot and the intrigue of its characters	"Suspense/Mystery/thrillers,Exciting,Like the characters interaction,Good/like the show/everything,Complex storyline,Appealing characters/I like the characters,"
I like the plot of the show	"Like the premise/setting/scenery,,,,,,"
The plot twists and expanding further into the westworld universe	"Suspense/Mystery/thrillers,Western aspect,,,,,"
The entire concept of AI and alternate realities interests me.	"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
Good show to fall asleep to.	"All negative mentions,,,,,,"
"The story is amazing for starters. The acting is top notch, the story telling is awesome and the overall show is wild fun."	"Good/like the show/everything,Good acting,Good storyline/subject matter,Witty/humorous/funny/entertaining,,,"
the mistrey	"Suspense/Mystery/thrillers,,,,,,"
Comparing the original version to the new version	"Other misc. mentions,,,,,,"
It's storyline. The show is very right for today. Culturuly. It touches on alot of topics that are taboo	"Good storyline/subject matter,Other show characteristic mentions,,,,,"
"i like the thriller of it , the plots i can't wait to see how it pans out and the hero's that make the show"	"Suspense/Mystery/thrillers,Like the premise/setting/scenery,,,,,"
"I enjoyed the futuristic story lines, AI, Characters in all 3 seasons, but season 3 is too complex."	"Futuristic,Technological aspects (inclusion of robots, exploring AI, etc.),Like the character complexity,,,,"
the cast in the show & the overall storylines/concept draws me into this show. This is a storyline that i feel like we will be living in the not to distant future	"Good cast/actors,Good storyline/subject matter,Relevant to 21st century/existing in the world today/reflects our current society,,,,"
i like the story	"Good storyline/subject matter,,,,,,"
nudity	"Other storyline/Plot mentions,,,,,,"
"The writing is great. When this show originally aired I felt as though it hit a new exciting way to portray the future and the possibilities of a fully human-like AI. And one my favorite parts is how they incorporate the songs (for example, Paint it Black) into the soundtrack to the show, but played on an old time piano, or the background music to a scene. It’s so clever and once I picked it up it’s something I look forward to every episode."	"Like the writing/dialog,Unique/different,Exciting,Technological aspects (inclusion of robots, exploring AI, etc.),Other High quality production values Mentions,Like the music/song,"
"DescriptionWestworld isn't your typical amusement park. Intended for rich vacationers, the futuristic park -- which is looked after by robotic ""hosts"" --"	"Other misc. mentions,,,,,,"
"It's characters and story telling are great. I love the manipulation of time in the first season, and the changing perspectives of the characters as they become more aware"	"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
I like that the current season is more futuristic. I like that the storylines are complex.	"Futuristic,Complex storyline,,,,,"
BEST AND SO	"Good/like the show/everything,,,,,,"
it is just such a great break from my reality	"Good/like the show/everything,,,,,,"
Friends talk about the show and it makes me want to watch to see what all the fascination is about.	"Heard good review/recommendations by family/friends,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
The plotline is one that I've never encountered.	"Good storyline/subject matter,,,,,,"
A different storylines and different characters	"Unique/different,Good storyline/subject matter,Appealing characters/I like the characters,,,,"
it is very good i like it very much	"Good/like the show/everything,,,,,,"
It’s definitely different and not like any other shows.	"Unique/different,,,,,,"
"Unpredictable plot line, evolution and growth of characters, interesting"	"Suspense/Mystery/thrillers,Like the characters development,Appealing characters/I like the characters,,,,"
i like the story and character	"Good storyline/subject matter,Appealing characters/I like the characters,,,,,"
Season 1 was good but season 2 became too much	"Good experience/liked the previous seasons,,,,,,"
Sci-fi and my love for westerns	"Science fiction/fantasy,Western aspect,,,,,"
It is different	"Unique/different,,,,,,"
It’s interesting and different	"Interesting/engaging,Unique/different,,,,,"
The artificial intelligence surrounding the plot and also the genius behind the director as well as story line.	"Technological aspects (inclusion of robots, exploring AI, etc.),Other misc. mentions,Good storyline/subject matter,,,,"
I can’t remember	"None/no answer,,,,,,"
The depth of the characters and the intriguing of the future civilization	"Appealing characters/I like the characters,Futuristic,,,,,"
this is an awesome show and i love it	"Good/like the show/everything,,,,,,"
Call my phone and call my number one phone call my number number again call my phone call my name number is so call my number call call my phone call call my call number call call my phone number is and call call me back I wanna was the day I wanna was the time	"None/no answer,,,,,,"
None	"None/no answer,,,,,,"
knowing that some day this will be a reality	"Looks realistic,,,,,,"
I enjoy sci fi and west world fits that genre well with good characters and plot	"Science fiction/fantasy,Like the genre,Appealing characters/I like the characters,Like the premise/setting/scenery,,,"
It so different from any other show I've watched. The characters are so interesting and to see the AI characters making their own decisions is disturbing and scary.	"Unique/different,Appealing characters/I like the characters,Interesting/engaging,Technological aspects (inclusion of robots, exploring AI, etc.),,,"
No comment was made about the concept of the fact that it has a lot of redeeming features	"All negative mentions,,,,,,"
The drama is outstanding.	"Like the drama,,,,,,"
The wonderful story line	"Good storyline/subject matter,,,,,,"
I enjoyed season 1 and season 2 and plan to watch season 3 completely as soon as my spouse catches up	"Good/like the show/everything,,,,,,"
the story is always crazy and keeps you on your feet	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
I liked the original movie that it is based on	"Already seen/like the original movie,,,,,,"
it is always new and thrilling	"Unique/different,Suspense/Mystery/thrillers,,,,,"
