All the actors are very talented and interesting	"Good cast/actors,Interesting/engaging,,,,,"
.	"None/no answer,,,,,,"
yes	"None/no answer,,,,,,"
no	"None/no answer,,,,,,"
It is very interesting has a great cast and awesome storyline	"Interesting/engaging,Good cast/actors,Good storyline/subject matter,,,,"
Thandie Newton ‘nuff said.	"Like Thandie Newton,,,,,,"
It doesn't. I don't watch it.	"All negative mentions,,,,,,"
Decent show	"Good/like the show/everything,,,,,,"
The plot and the complexity of the show is amazing.	"Good storyline/subject matter,Complex storyline,,,,,"
I just like the futuristic storyline and the complex story and twists.	"Futuristic,Complex storyline,Suspense/Mystery/thrillers,,,,"
?	"Don't know,,,,,,"
very good	"Good/like the show/everything,,,,,,"
Season one was original and unique. Reviews of seasons 2 and three say it's lost its way.	"Original,Unique/different,,,,,"
I like that it's a way to go back and forth between words and also live how they main characters live without exists and other worldly beings and put of this world beings	"Other storyline/Plot mentions,Other characters mentions,,,,,"
The writing is superb. Love watching the characters develop over time. The actors themselves are convincing in their roles.	"Like the writing/dialog,Appealing characters/I like the characters,Good cast/actors,,,,"
Everything!	"Good/like the show/everything,,,,,,"
"You feel like you're untangling a gigantic, complex knot that reveals new twists and turns with each layer that comes unraveled. It's engaging and riveting"	"Suspense/Mystery/thrillers,Interesting/engaging,,,,,"
I just like it	"Good/like the show/everything,,,,,,"
THERES REALLY NOTHING I WATCHED PARTS OF 3 EPISODES AND NEVER REALLY GOT INTO IT	"All negative mentions,,,,,,"
"Westworld literally plays you. It plays you as assuredly as the skeletal fingers that dance across the piano keys in the title sequence. Each episode draws you in and seduces you with the promise of revelations, before flipping those expectations on their head and delivering something more interesting and finely crafted than you’d thought possible. Not only that, though, Westworld’s episodes subtly seed persistent narrative elements that coalesce when the show is ready to reveal its secrets to the viewer."	"Attention grabbing/holds interest/keeps you wanting to watch more,Interesting/engaging,Suspense/Mystery/thrillers,,,,"
i love the cast and the plots. the writers are great and keep me coming back for every single episode. i love it	"Good cast/actors,Like the premise/setting/scenery,Like the writing/dialog,Attention grabbing/holds interest/keeps you wanting to watch more,,,"
I watched the first two seasons	"Have not watched enough to comment/not familiar with the show,,,,,,"
i like very much	"Good/like the show/everything,,,,,,"
its very interesting	"Interesting/engaging,,,,,,"
i just thnik it is a really interesting and unique show	"Interesting/engaging,Unique/different,,,,,"
offers good service	"Other misc. mentions,,,,,,"
the actors and the diologe	"Good cast/actors,Like the writing/dialog,,,,,"
"I like the concept of it, it's very interesting and thought-provoking."	"Like the concept/idea of futuristic amusement park,Interesting/engaging,Thought provoking,,,,"
I love the action and drama and thandie Newton's character	"Like the action/adventurous,Like the drama,Other characters mentions,,,,"
The interesting sci fi western combination with good writing	"Interesting/engaging,Science fiction/fantasy,Like the writing/dialog,,,,"
Exciting story line	"Exciting,Good storyline/subject matter,,,,,"
None	"None/no answer,,,,,,"
It is very furhurres	"Futuristic,,,,,,"
"I really love the cast as well as the overall storyline. It is so different than anything out right now, and it is so captivating."	"Good cast/actors,Good storyline/subject matter,Unique/different,Attention grabbing/holds interest/keeps you wanting to watch more,,,"
I just enjoy it	"Witty/humorous/funny/entertaining,,,,,,"
great	"Good/like the show/everything,,,,,,"
i really liked the movie and spreading beyond that and focuses on things that are relevant to today is exciting	"Already seen/like the original movie,Relevant to 21st century/existing in the world today/reflects our current society,,,,,"
very god eay teu more eys fn eys moge oddo	"None/no answer,,,,,,"
The action and the characters	"Like the action/adventurous,Appealing characters/I like the characters,,,,,"
it makes you be on the edge of your seat and keeps you guessing about what will happen	"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
The creative and beautiful story telling and environment	"Creative/innovative/modern,Good storyline/subject matter,Other misc. mentions,,,,"
The concept and the aesthetic of the setting appeals to me	"Like the concept/idea of futuristic amusement park,Like the premise/setting/scenery,,,,,"
New lines	"Unique/different,,,,,,"
What makes it a good show is that it strings you along so easily that I can't not watch. It has a future that is very crazy to think about and that is what draws you in.	"Futuristic,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
Interesting concepts and constant world changing	"Interesting/engaging,Like the concept/idea of futuristic amusement park,Other show type mentions,,,,"
overall this is a really great show nand i would say that it is one of the best shows that is currently in the market	"Good/like the show/everything,,,,,,"
"i think its a unique and original type of show, as well as that its futuristic"	"Unique/different,Original,Futuristic,,,,"
The overall story and the actors involved.	"Good storyline/subject matter,Good cast/actors,,,,,"
each character feel like they could be the main character of the show	"Appealing characters/I like the characters,,,,,,"
It's a good ahow	"Good/like the show/everything,,,,,,"
It is more entertaining when talking about artificial intelligence between the ties of the characters	"Witty/humorous/funny/entertaining,Technological aspects (inclusion of robots, exploring AI, etc.),Like the characters development,,,,"
sci fi mixed with western and different cultures mixed in	"Science fiction/fantasy,Other storyline/Plot mentions,,,,,"
It’s fantastic show that I ever watch it.	"Good/like the show/everything,,,,,,"
the thrilling action	"Like the action/adventurous,,,,,,"
vbfg	"None/no answer,,,,,,"
Futuristic elements that seem real because of the great character development	"Futuristic,Like the characters development,,,,,"
"It is a great series, it has a great special effect and the best written shows does it all at once. Westworld is very unique"	"Good/like the show/everything,Good visuals/graphics/special effects,Like the writing/dialog,Unique/different,,,"
"What makes it a good show is that it genuinely explores the cynical, violent relationship that humans have for others people, other things, and the desire to dehumanize all in the name of self-indulgence. I really enjoyed season 3 by how it goes beyond just the parks into almost replicant infiltration into our society."	"Other storyline/Plot mentions,Witty/humorous/funny/entertaining,Relevant to 21st century/existing in the world today/reflects our current society,,,,"
It’s just interesting eith nothing like it out their	"Interesting/engaging,,,,,,"
the story of the show is great .that s why i like it very much	"Good storyline/subject matter,Good/like the show/everything,,,,,"
Husband likes it	"Good/like the show/everything,,,,,,"
great writing with complex characters	"Like the writing/dialog,Like the character complexity,,,,,"
I like the idea that westworld is a theme park and all the technology there is to give it that perfect touch of the old west. The theme of the hosts is very interesting	"Like the concept/idea of futuristic amusement park,Technological aspects (inclusion of robots, exploring AI, etc.),Other acting mentions,,,,"
"His good controversial story, where he causes empathy with his characters ad that makes him want to see more"	"Other storyline/Plot mentions,Other characters mentions,,,,,"
nothing more than whats being done now	"Good/like the show/everything,,,,,,"
the sci fi and action	"Science fiction/fantasy,Like the action/adventurous,,,,,"
I don’t know	"Don't know,,,,,,"
Westworld is good because there is a lot of material to work with and is not a generic plot line. The cast and the writing make the show.	"Good/like the show/everything,Informative/detailed,Good cast/actors,Like the writing/dialog,,,"
"The acting, characters, plot"	"Good acting,Good storyline/subject matter,,,,,"
The character interactions.	"Like the characters interaction,,,,,,"
werujiuhgfrdswetgyhujygfswetghujhgfdesdghjmhgvfcdx	"None/no answer,,,,,,"
i like the idea of people interacting with AI robots	"Like the characters interaction,,,,,,"
it was so great	"Good/like the show/everything,,,,,,"
none	"None/no answer,,,,,,"
i like the story	"Good storyline/subject matter,,,,,,"
The idea that there are AI all over & you can't tell who is who.	"Technological aspects (inclusion of robots, exploring AI, etc.),Suspense/Mystery/thrillers,,,,,"
constant twist and turns in the plot	"Suspense/Mystery/thrillers,,,,,,"
The developing storyline. How it explores how each character has arrived at this point	"Good storyline/subject matter,Appealing characters/I like the characters,,,,,"
the cast	"Good cast/actors,,,,,,"
always unexpected. makes you work and think while watching. Intelligent	"Suspense/Mystery/thrillers,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
How it takes place and the whole story line	"Good storyline/subject matter,,,,,,"
GOOD	"Good/like the show/everything,,,,,,"
The story line and the character's	"Good storyline/subject matter,Appealing characters/I like the characters,,,,,"
I'm a fan of sci-fi. And this sci-fi is excellent	"Science fiction/fantasy,,,,,,"
I watch it sometimes because my boyfriend likes it.	"Have not watched enough to comment/not familiar with the show,,,,,,"
It is made so well - and the action is big and gory - I like the actors too	"Other show characteristic mentions,Like the action/adventurous,Violence,Good cast/actors,,,"
There is nothing else like it and it feels that our world is headed in the same direction. all the data and privacy issues and people at the top always win and us at the bottom can't even get a job. Feels like we don't have a choice sometimes.	"Other storyline/Plot mentions,,,,,,"
The story	"Good storyline/subject matter,,,,,,"
