Input sentence,YAKE Prediction,TEXT_RANK Prediction,Target Prediction
I really like the show because it is thought provoking and i like shows that make me think,thought provoking/really like/provoking/like/really,show,"Good/like the show/everything,Thought provoking,,,,,"
The cast.,cast,,"Good cast/actors,,,,,,"
Nothing,nothing,,"None/no answer,,,,,,"
"It is the most complex and original idea I have ever seen or heard of. Also, because it delves into the topic of human emotions, but in an artificial way, if I were to be punny and serious all at once. From what I have seen of the show, I believe that we, as human beings, can compare ourselves to the androids, because we can definitely relate to them.",original idea/ever seen/artificial way/human emotions/complex,human emotions/artificial way/original idea/human,"Complex storyline,Original,Other show characteristic mentions,,,,"
it has many twists and I like that,many twists/twists/many/like,many,"Suspense/Mystery/thrillers,Good/like the show/everything,,,,,"
It's unpredictable so you are left wanting more,left wanting/unpredictable/left/wanting,unpredictable,"Suspense/Mystery/thrillers,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
thrilling and a very exciting show with action,exciting show/thrilling/action/show with action/exciting,exciting show,"Suspense/Mystery/thrillers,Exciting,Like the action/adventurous,,,,"
It is a very unique show and I never know what to expect next,unique show/show/unique/expect next/next,unique,"Witty/humorous/funny/entertaining,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
It’s visually interesting,visually interesting/visually/interesting,,"Interesting/engaging,,,,,,"
love anything ed harris or thandie newton are in,love anything/thandie newton/love/anything/harris,ed/thandie,"Good/like the show/everything,Like Ed Harris,Like Thandie Newton,,,,"
The acting and writing are amazing and it has a great story,great story/story/acting/writing/amazing,great story,"Good acting,Like the writing/dialog,Good storyline/subject matter,,,,"
"Westworld is a complete show, from start to finish, its plot keeps you interested and intrigued by what may happen. It has a unique theme and plot in my opinion, combining in a great way the genre of science fiction with the drama and problems that afflict us today.",complete show/may happen/plot keeps/westworld/show,science fiction/great way/unique theme/complete show/westworld,"Attention grabbing/holds interest/keeps you wanting to watch more,Interesting/engaging,Unique/different,Science fiction/fantasy,Like the drama,Relevant to 21st century/existing in the world today/reflects our current society,"
Its different than the other show I watch,watch/different/show,other,"Unique/different,,,,,,"
how they try and make a new way to be different then others,new way/others/different then others/try/make,new way,"Unique/different,,,,,,"
I like the subject.,subject/like the subject/like,,"Good storyline/subject matter,,,,,,"
The overall futuristic concept of living in that (simulated) time period. The characters are all engaging and support their individual and collective agandas with determination and steadfastness.,overall futuristic concept/time period/overall futuristic/futuristic concept/simulated,collective agandas/time period/futuristic,"Futuristic,Appealing characters/I like the characters,,,,,"
Than you.,,,"None/no answer,,,,,,"
I like the action and parts in which they get killed by the bad guy,bad guy/get killed/guy/like/action,bad guy,"Like the action/adventurous,Violence,,,,,"
love the complexity of characters and how it makes you think critically,think critically/love/critically/love the complexity/complexity,complexity,"Like the character complexity,Thought provoking,,,,,"
The aspect of the show that revolves around what makes people humans. The acting is also great.,makes people humans/people humans/revolves around/makes people/humans,people humans/aspect,"Technology involvement/overpowering human life,Good acting,,,,,"
The characters,characters,,"Appealing characters/I like the characters,,,,,,"
THE CHARACTERS,characters,,"Appealing characters/I like the characters,,,,,,"
"I absolutely love the scenery and the music. The music is best in show, best in class. I've always been an Evan Rachel Wood fan and she carries the series very well. The overall tense and somber mood is drawing for me. I'm always excited to see what lurks behind each episode.",evan rachel wood/absolutely love/love the scenery/rachel wood fan/evan rachel,evan rachel wood fan/somber mood/overall tense,"Like the premise/setting/scenery,Like the music/song,Like Evan Rachel Wood,Exciting,,,"
it is very good,good,,"Good/like the show/everything,,,,,,"
Westworld is a drama series of a darkodyssey about the dawn of artificial and evolution of sin,drama series/westworld/sin/evolution of sin/drama,drama series/darkodyssey/westworld,"Other misc. mentions,,,,,,"
Nothing else,nothing else/nothing/else,,"None/no answer,,,,,,"
the AI and sci-fi storyline and some of the characters,sci/characters/storyline,fi storyline,"Technological aspects (inclusion of robots, exploring AI, etc.),Science fiction/fantasy,Appealing characters/I like the characters,,,,"
I don't love love it. Too violent,love love/love/violent,,"All negative mentions,,,,,,"
not sure it is very confusing now,sure/confusing,sure,"All negative mentions,,,,,,"
I like that it have a virtual reality setting where the character can go to any setting of the time line to protect there friend,virtual reality setting/virtual reality/time line/reality setting/friend,virtual reality/time,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
its full of twists,twists/full of twists/full,full,"Suspense/Mystery/thrillers,,,,,,"
"Complex story line, artificial intelligence",complex story line/artificial intelligence/complex story/story line/complex,story/artificial,"Complex storyline,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
"I really liked the first season. I'm not too impressed with the rest. I guess I keep comparing it to the original movie, which I really liked.",first season/really liked/season/really/liked,first season/original,"Already seen/like the original movie,,,,,,"
It’s a show my friends recommended to me and I started watching.,friends recommended/show/friends/recommended/started watching,show,"Heard good review/recommendations by family/friends,,,,,,"
It doesn’t,,,"None/no answer,,,,,,"
the story of the show is very engaging,engaging/story/show,story,"Interesting/engaging,,,,,,"
it is a binge worry,binge worry/worry/binge,binge,"All negative mentions,,,,,,"
