Input sentence,YAKE Prediction,YAKE Prediction Cleaned,TEXT_RANK Prediction,TEXT_RANK Prediction cleaned,Target Prediction
.,None,None,,,"None/no answer,,,,,,"
yes,yes,yes,,,"None/no answer,,,,,,"
no,None,None,,,"None/no answer,,,,,,"
It is very interesting has a great cast and awesome storyline,awesome storyline/great cast/storyline/interesting/great,awesome storyline/great cast/interesting,great cast,great cast,"Interesting/engaging,Good cast/actors,Good storyline/subject matter,,,,"
Thandie Newton ‘nuff said.,thandie newton/nuff said/newton/thandie/nuff,thandie newton/nuff said,thandie,thandie,"Like Thandie Newton,,,,,,"
It doesn't. I don't watch it.,watch,watch,,,"All negative mentions,,,,,,"
Decent show,decent show/decent/show,decent show,decent,decent,"Good/like the show/everything,,,,,,"
The plot and the complexity of the show is amazing.,amazing/show is amazing/plot/complexity/show,show is amazing/plot/complexity,complexity/plot,complexity/plot,"Good storyline/subject matter,Complex storyline,,,,,"
I just like the futuristic storyline and the complex story and twists.,futuristic storyline/complex story/twists/story and twists/like,futuristic storyline/complex story/story and twists/like,futuristic storyline,futuristic storyline,"Futuristic,Complex storyline,Suspense/Mystery/thrillers,,,,"
?,None,None,,,"Don't know,,,,,,"
very good,good,good,,,"Good/like the show/everything,,,,,,"
Season one was original and unique. Reviews of seasons 2 and three say it's lost its way.,season one/season/unique/original and unique/one,season one/original and unique,unique/original/season,unique/original/season,"Original,Unique/different,,,,,"
I like that it's a way to go back and forth between words and also live how they main characters live without exists and other worldly beings and put of this world beings,main characters live/characters live without/live without exists/main characters/without exists,main characters live/characters live without/live without exists,worldly beings/main characters/beings,worldly beings/main characters,"Other storyline/Plot mentions,Other characters mentions,,,,,"
The writing is superb. Love watching the characters develop over time. The actors themselves are convincing in their roles.,superb/love watching/writing is superb/writing/characters develop,love watching/writing is superb/characters develop,characters/love/superb/writing,characters/love/superb/writing,"Like the writing/dialog,Appealing characters/I like the characters,Good cast/actors,,,,"
Everything!,everything,everything,,,"Good/like the show/everything,,,,,,"
"You feel like you're untangling a gigantic, complex knot that reveals new twists and turns with each layer that comes unraveled. It's engaging and riveting",reveals new twists/complex knot/comes unraveled/feel like/reveals new,reveals new twists/complex knot/comes unraveled/feel like,new twists/complex knot,new twists/complex knot,"Suspense/Mystery/thrillers,Interesting/engaging,,,,,"
I just like it,like,like,,,"Good/like the show/everything,,,,,,"
THERES REALLY NOTHING I WATCHED PARTS OF 3 EPISODES AND NEVER REALLY GOT INTO IT,theres really/theres/nothing/really/watched,theres really/nothing/watched,theres really/really/nothing,theres really/nothing,"All negative mentions,,,,,,"
